"name","round","percentage"
"Belmont","5","0.1"
"Oregon","6","0.01"
"Montana","1","3.6"
"VCU","2","1.4"
"Iona","3","0.5"
"Old Dominion","4","0.2"
"Oregon","5","0.1"
"Vermont","6","0.01"
"Georgia St","1","3.3"
"Montana","2","1.4"
"North Dakota St","3","0.5"
"Bradley","4","0.2"
"Vermont","5","0.1"
"Yale","6","0.01"
"Bradley","1","2.9"
"Northeastern","2","1.3"
"UC Irvine","3","0.4"
"Abil Christian","4","0.2"
"Yale","5","0.1"
"Old Dominion","6","0.01"
"Northeastern","1","2.9"
"Bradley","2","1.3"
"Old Dominion","3","0.4"
"Vermont","4","0.1"
"Old Dominion","5","0.1"
"Georgia St","6","0.01"
"Colgate","1","2.6"
"Colgate","2","1.1"
"Saint Louis","3","0.4"
"UC Irvine","4","0.1"
"Georgia St","5","0.1"
"Bradley","6","0.01"
"Abil Christian","1","2.1"
"Abil Christian","2","1.0"
"Yale","3","0.4"
"Yale","4","0.1"
"Bradley","5","0.1"
"Montana","6","0.01"
"F Dickinson","1","2.0"
"F Dickinson","2","0.9"
"N Kentucky","3","0.4"
"N Kentucky","4","0.1"
"Saint Louis","5","0.1"
"Saint Louis","6","0.01"
"Iona","1","2.0"
"Iona","2","0.8"
"Vermont","3","0.4"
"Saint Louis","4","0.1"
"Northeastern","5","0.1"
"UC Irvine","6","0.01"
"Gardner-Webb","1","1.7"
"Gardner-Webb","2","0.8"
"Georgia St","3","0.4"
"Georgia St","4","0.1"
"N Kentucky","5","0.1"
"Northeastern","6","0.01"
"North Dakota St","1","1.3"
"North Dakota St","2","0.7"
"Northeastern","3","0.3"
"Northeastern","4","0.1"
"UC Irvine","5","0.01"
"N Kentucky","6","0.01"
